,GameID,Date,Start_EST,H/A,Team,W/L,Overtime,PT_Diff,Wins,GP,PCT,Opponent,Opponent_PCT
0,1.0,2016-10-25,19:30:00,Home,Cleveland Cavaliers,1,0.0,29.0,1,1,1.0,New York Knicks,0.0
0,1.0,2016-10-25,19:30:00,Away,New York Knicks,0,0.0,-29.0,0,1,0.0,Cleveland Cavaliers,1.0
1,2.0,2016-10-25,22:00:00,Home,Portland Trail Blazers,1,0.0,9.0,1,1,1.0,Utah Jazz,0.0
1,2.0,2016-10-25,22:00:00,Away,Utah Jazz,0,0.0,-9.0,0,1,0.0,Portland Trail Blazers,1.0
2,3.0,2016-10-25,22:30:00,Away,San Antonio Spurs,1,0.0,29.0,1,1,1.0,Golden State Warriors,0.0
2,3.0,2016-10-25,22:30:00,Home,Golden State Warriors,0,0.0,-29.0,0,1,0.0,San Antonio Spurs,1.0
3,4.0,2016-10-26,19:00:00,Home,Indiana Pacers,1,1.0,9.0,1,1,1.0,Dallas Mavericks,0.0
3,4.0,2016-10-26,19:00:00,Away,Dallas Mavericks,0,1.0,-9.0,0,1,0.0,Indiana Pacers,1.0
4,5.0,2016-10-26,19:00:00,Away,Miami Heat,1,0.0,12.0,1,1,1.0,Orlando Magic,0.0
4,5.0,2016-10-26,19:00:00,Home,Orlando Magic,0,0.0,-12.0,0,1,0.0,Miami Heat,1.0
5,6.0,2016-10-26,19:30:00,Home,Boston Celtics,1,0.0,5.0,1,1,1.0,Brooklyn Nets,0.0
5,6.0,2016-10-26,19:30:00,Away,Brooklyn Nets,0,0.0,-5.0,0,1,0.0,Boston Celtics,1.0
6,7.0,2016-10-26,19:30:00,Home,Toronto Raptors,1,0.0,18.0,1,1,1.0,Detroit Pistons,0.0
6,7.0,2016-10-26,19:30:00,Away,Detroit Pistons,0,0.0,-18.0,0,1,0.0,Toronto Raptors,1.0
7,8.0,2016-10-26,20:00:00,Home,Memphis Grizzlies,1,0.0,4.0,1,1,1.0,Minnesota Timberwolves,0.0
7,8.0,2016-10-26,20:00:00,Away,Minnesota Timberwolves,0,0.0,-4.0,0,1,0.0,Memphis Grizzlies,1.0
8,9.0,2016-10-26,20:00:00,Away,Charlotte Hornets,1,0.0,11.0,1,1,1.0,Milwaukee Bucks,0.0
8,9.0,2016-10-26,20:00:00,Home,Milwaukee Bucks,0,0.0,-11.0,0,1,0.0,Charlotte Hornets,1.0
9,10.0,2016-10-26,20:00:00,Away,Denver Nuggets,1,0.0,5.0,1,1,1.0,New Orleans Pelicans,0.0
9,10.0,2016-10-26,20:00:00,Home,New Orleans Pelicans,0,0.0,-5.0,0,1,0.0,Denver Nuggets,1.0
10,11.0,2016-10-26,20:00:00,Away,Oklahoma City Thunder,1,0.0,6.0,1,1,1.0,Philadelphia 76ers,0.0
10,11.0,2016-10-26,20:00:00,Home,Philadelphia 76ers,0,0.0,-6.0,0,1,0.0,Oklahoma City Thunder,1.0
11,12.0,2016-10-26,22:00:00,Away,Sacramento Kings,1,0.0,19.0,1,1,1.0,Phoenix Suns,0.0
11,12.0,2016-10-26,22:00:00,Home,Phoenix Suns,0,0.0,-19.0,0,1,0.0,Sacramento Kings,1.0
12,13.0,2016-10-26,22:30:00,Home,Los Angeles Lakers,1,0.0,6.0,1,1,1.0,Houston Rockets,0.0
12,13.0,2016-10-26,22:30:00,Away,Houston Rockets,0,0.0,-6.0,0,1,0.0,Los Angeles Lakers,1.0
13,14.0,2016-10-27,19:30:00,Home,Atlanta Hawks,1,0.0,15.0,1,1,1.0,Washington Wizards,0.0
13,14.0,2016-10-27,19:30:00,Away,Washington Wizards,0,0.0,-15.0,0,1,0.0,Atlanta Hawks,1.0
14,15.0,2016-10-27,20:00:00,Home,Chicago Bulls,1,0.0,6.0,1,1,1.0,Boston Celtics,0.5
14,15.0,2016-10-27,20:00:00,Away,Boston Celtics,0,0.0,-6.0,1,2,0.5,Chicago Bulls,1.0
15,16.0,2016-10-27,22:30:00,Away,Los Angeles Clippers,1,0.0,8.0,1,1,1.0,Portland Trail Blazers,0.5
15,16.0,2016-10-27,22:30:00,Home,Portland Trail Blazers,0,0.0,-8.0,1,2,0.5,Los Angeles Clippers,1.0
16,17.0,2016-10-27,22:30:00,Away,San Antonio Spurs,1,0.0,8.0,2,2,1.0,Sacramento Kings,0.5
16,17.0,2016-10-27,22:30:00,Home,Sacramento Kings,0,0.0,-8.0,1,2,0.5,San Antonio Spurs,1.0
17,18.0,2016-10-28,19:00:00,Away,Cleveland Cavaliers,1,0.0,3.0,2,2,1.0,Toronto Raptors,0.5
17,18.0,2016-10-28,19:00:00,Home,Toronto Raptors,0,0.0,-3.0,1,2,0.5,Cleveland Cavaliers,1.0
18,19.0,2016-10-28,19:30:00,Home,Brooklyn Nets,1,0.0,9.0,1,2,0.5,Indiana Pacers,0.5
18,19.0,2016-10-28,19:30:00,Away,Indiana Pacers,0,0.0,-9.0,1,2,0.5,Brooklyn Nets,0.5
19,20.0,2016-10-28,19:30:00,Home,Detroit Pistons,1,0.0,26.0,1,2,0.5,Orlando Magic,0.0
19,20.0,2016-10-28,19:30:00,Away,Orlando Magic,0,0.0,-26.0,0,2,0.0,Detroit Pistons,0.5
20,21.0,2016-10-28,20:00:00,Away,Charlotte Hornets,1,0.0,6.0,2,2,1.0,Miami Heat,0.5
20,21.0,2016-10-28,20:00:00,Home,Miami Heat,0,0.0,-6.0,1,2,0.5,Charlotte Hornets,1.0
21,22.0,2016-10-28,20:00:00,Home,Oklahoma City Thunder,1,1.0,3.0,2,2,1.0,Phoenix Suns,0.0
21,22.0,2016-10-28,20:00:00,Away,Phoenix Suns,0,1.0,-3.0,0,2,0.0,Oklahoma City Thunder,1.0
22,23.0,2016-10-28,20:30:00,Away,Houston Rockets,1,0.0,8.0,1,2,0.5,Dallas Mavericks,0.0
22,23.0,2016-10-28,20:30:00,Home,Dallas Mavericks,0,0.0,-8.0,0,2,0.0,Houston Rockets,0.5
23,24.0,2016-10-28,21:00:00,Home,Utah Jazz,1,0.0,7.0,1,2,0.5,Los Angeles Lakers,0.5
23,24.0,2016-10-28,21:00:00,Away,Los Angeles Lakers,0,0.0,-7.0,1,2,0.5,Utah Jazz,0.5
24,25.0,2016-10-28,21:30:00,Away,Golden State Warriors,1,0.0,8.0,1,2,0.5,New Orleans Pelicans,0.0
24,25.0,2016-10-28,21:30:00,Home,New Orleans Pelicans,0,0.0,-8.0,0,2,0.0,Golden State Warriors,0.5
25,26.0,2016-10-29,12:30:00,Away,Atlanta Hawks,1,0.0,32.0,2,2,1.0,Philadelphia 76ers,0.0
25,26.0,2016-10-29,12:30:00,Home,Philadelphia 76ers,0,0.0,-32.0,0,2,0.0,Atlanta Hawks,1.0
26,27.0,2016-10-29,19:00:00,Away,Boston Celtics,1,0.0,6.0,2,3,0.667,Charlotte Hornets,0.667
26,27.0,2016-10-29,19:00:00,Home,Charlotte Hornets,0,0.0,-6.0,2,3,0.667,Boston Celtics,0.667
27,28.0,2016-10-29,19:30:00,Home,Cleveland Cavaliers,1,0.0,6.0,3,3,1.0,Orlando Magic,0.0
27,28.0,2016-10-29,19:30:00,Away,Orlando Magic,0,0.0,-6.0,0,3,0.0,Cleveland Cavaliers,1.0
28,29.0,2016-10-29,19:30:00,Home,New York Knicks,1,0.0,7.0,1,2,0.5,Memphis Grizzlies,0.5
28,29.0,2016-10-29,19:30:00,Away,Memphis Grizzlies,0,0.0,-7.0,1,2,0.5,New York Knicks,0.5
29,30.0,2016-10-29,20:00:00,Home,Chicago Bulls,1,0.0,17.0,2,2,1.0,Indiana Pacers,0.333
29,30.0,2016-10-29,20:00:00,Away,Indiana Pacers,0,0.0,-17.0,1,3,0.333,Chicago Bulls,1.0
30,31.0,2016-10-29,20:00:00,Home,Milwaukee Bucks,1,0.0,2.0,1,2,0.5,Brooklyn Nets,0.333
30,31.0,2016-10-29,20:00:00,Away,Brooklyn Nets,0,0.0,-2.0,1,3,0.333,Milwaukee Bucks,0.5
31,32.0,2016-10-29,20:00:00,Home,San Antonio Spurs,1,0.0,19.0,3,3,1.0,New Orleans Pelicans,0.0
31,32.0,2016-10-29,20:00:00,Away,New Orleans Pelicans,0,0.0,-19.0,0,3,0.0,San Antonio Spurs,1.0
32,33.0,2016-10-29,21:00:00,Away,Portland Trail Blazers,1,1.0,2.0,2,3,0.667,Denver Nuggets,0.5
32,33.0,2016-10-29,21:00:00,Home,Denver Nuggets,0,1.0,-2.0,1,2,0.5,Portland Trail Blazers,0.667
33,34.0,2016-10-29,22:30:00,Home,Sacramento Kings,1,0.0,3.0,2,3,0.667,Minnesota Timberwolves,0.0
33,34.0,2016-10-29,22:30:00,Away,Minnesota Timberwolves,0,0.0,-3.0,0,2,0.0,Sacramento Kings,0.667
34,35.0,2016-10-30,16:30:00,Home,Los Angeles Clippers,1,0.0,13.0,2,2,1.0,Utah Jazz,0.333
34,35.0,2016-10-30,16:30:00,Away,Utah Jazz,0,0.0,-13.0,1,3,0.333,Los Angeles Clippers,1.0
35,36.0,2016-10-30,18:00:00,Home,Detroit Pistons,1,0.0,15.0,2,3,0.667,Milwaukee Bucks,0.333
35,36.0,2016-10-30,18:00:00,Away,Milwaukee Bucks,0,0.0,-15.0,1,3,0.333,Detroit Pistons,0.667
36,37.0,2016-10-30,18:00:00,Away,San Antonio Spurs,1,0.0,7.0,4,4,1.0,Miami Heat,0.333
36,37.0,2016-10-30,18:00:00,Home,Miami Heat,0,0.0,-7.0,1,3,0.333,San Antonio Spurs,1.0
37,38.0,2016-10-30,18:00:00,Away,Golden State Warriors,1,0.0,6.0,2,3,0.667,Phoenix Suns,0.0
37,38.0,2016-10-30,18:00:00,Home,Phoenix Suns,0,0.0,-6.0,0,3,0.0,Golden State Warriors,0.667
38,39.0,2016-10-30,19:00:00,Home,Oklahoma City Thunder,1,0.0,17.0,3,3,1.0,Los Angeles Lakers,0.333
38,39.0,2016-10-30,19:00:00,Away,Los Angeles Lakers,0,0.0,-17.0,1,3,0.333,Oklahoma City Thunder,1.0
39,40.0,2016-10-30,20:00:00,Home,Houston Rockets,1,0.0,1.0,2,3,0.667,Dallas Mavericks,0.0
39,40.0,2016-10-30,20:00:00,Away,Dallas Mavericks,0,0.0,-1.0,0,3,0.0,Houston Rockets,0.667
40,41.0,2016-10-30,20:00:00,Home,Memphis Grizzlies,1,1.0,9.0,2,3,0.667,Washington Wizards,0.0
40,41.0,2016-10-30,20:00:00,Away,Washington Wizards,0,1.0,-9.0,0,2,0.0,Memphis Grizzlies,0.667
41,42.0,2016-10-31,19:30:00,Home,Atlanta Hawks,1,0.0,11.0,3,3,1.0,Sacramento Kings,0.5
41,42.0,2016-10-31,19:30:00,Away,Sacramento Kings,0,0.0,-11.0,2,4,0.5,Atlanta Hawks,1.0
42,43.0,2016-10-31,19:30:00,Away,Chicago Bulls,1,0.0,30.0,3,3,1.0,Brooklyn Nets,0.25
42,43.0,2016-10-31,19:30:00,Home,Brooklyn Nets,0,0.0,-30.0,1,4,0.25,Chicago Bulls,1.0
43,44.0,2016-10-31,19:30:00,Home,Toronto Raptors,1,0.0,3.0,2,3,0.667,Denver Nuggets,0.333
43,44.0,2016-10-31,19:30:00,Away,Denver Nuggets,0,0.0,-3.0,1,3,0.333,Toronto Raptors,0.667
44,45.0,2016-10-31,22:30:00,Home,Los Angeles Clippers,1,0.0,18.0,3,3,1.0,Phoenix Suns,0.0
44,45.0,2016-10-31,22:30:00,Away,Phoenix Suns,0,0.0,-18.0,0,4,0.0,Los Angeles Clippers,1.0
45,46.0,2016-11-01,18:00:00,Home,Cleveland Cavaliers,1,0.0,8.0,4,4,1.0,Houston Rockets,0.5
45,46.0,2016-11-01,18:00:00,Away,Houston Rockets,0,0.0,-8.0,2,4,0.5,Cleveland Cavaliers,1.0
46,47.0,2016-11-01,19:00:00,Home,Indiana Pacers,1,0.0,7.0,2,4,0.5,Los Angeles Lakers,0.25
46,47.0,2016-11-01,19:00:00,Away,Los Angeles Lakers,0,0.0,-7.0,1,4,0.25,Indiana Pacers,0.5
47,48.0,2016-11-01,19:00:00,Away,Orlando Magic,1,0.0,2.0,1,4,0.25,Philadelphia 76ers,0.0
47,48.0,2016-11-01,19:00:00,Home,Philadelphia 76ers,0,0.0,-2.0,0,3,0.0,Orlando Magic,0.25
48,49.0,2016-11-01,19:30:00,Home,Detroit Pistons,1,0.0,13.0,3,4,0.75,New York Knicks,0.333
48,49.0,2016-11-01,19:30:00,Away,New York Knicks,0,0.0,-13.0,1,3,0.333,Detroit Pistons,0.75
49,50.0,2016-11-01,19:30:00,Home,Miami Heat,1,1.0,12.0,2,4,0.5,Sacramento Kings,0.4
49,50.0,2016-11-01,19:30:00,Away,Sacramento Kings,0,1.0,-12.0,2,5,0.4,Miami Heat,0.5
50,51.0,2016-11-01,20:00:00,Home,Minnesota Timberwolves,1,0.0,36.0,1,3,0.333,Memphis Grizzlies,0.5
50,51.0,2016-11-01,20:00:00,Away,Memphis Grizzlies,0,0.0,-36.0,2,4,0.5,Minnesota Timberwolves,0.333
51,52.0,2016-11-01,20:00:00,Away,Milwaukee Bucks,1,0.0,4.0,2,4,0.5,New Orleans Pelicans,0.0
51,52.0,2016-11-01,20:00:00,Home,New Orleans Pelicans,0,0.0,-4.0,0,4,0.0,Milwaukee Bucks,0.5
52,53.0,2016-11-01,20:30:00,Away,Utah Jazz,1,0.0,15.0,2,4,0.5,San Antonio Spurs,0.8
52,53.0,2016-11-01,20:30:00,Home,San Antonio Spurs,0,0.0,-15.0,4,5,0.8,Utah Jazz,0.5
53,54.0,2016-11-01,22:00:00,Away,Golden State Warriors,1,0.0,23.0,3,4,0.75,Portland Trail Blazers,0.5
53,54.0,2016-11-01,22:00:00,Home,Portland Trail Blazers,0,0.0,-23.0,2,4,0.5,Golden State Warriors,0.75
54,55.0,2016-11-02,19:00:00,Home,Charlotte Hornets,1,0.0,16.0,3,4,0.75,Philadelphia 76ers,0.0
54,55.0,2016-11-02,19:00:00,Away,Philadelphia 76ers,0,0.0,-16.0,0,4,0.0,Charlotte Hornets,0.75
55,56.0,2016-11-02,19:00:00,Away,Toronto Raptors,1,0.0,10.0,3,4,0.75,Washington Wizards,0.0
55,56.0,2016-11-02,19:00:00,Home,Washington Wizards,0,0.0,-10.0,0,3,0.0,Toronto Raptors,0.75
56,57.0,2016-11-02,19:30:00,Away,Los Angeles Lakers,1,0.0,7.0,2,5,0.4,Atlanta Hawks,0.75
56,57.0,2016-11-02,19:30:00,Home,Atlanta Hawks,0,0.0,-7.0,3,4,0.75,Los Angeles Lakers,0.4
57,58.0,2016-11-02,19:30:00,Home,Brooklyn Nets,1,0.0,8.0,2,5,0.4,Detroit Pistons,0.6
57,58.0,2016-11-02,19:30:00,Away,Detroit Pistons,0,0.0,-8.0,3,5,0.6,Brooklyn Nets,0.4
58,59.0,2016-11-02,19:30:00,Away,Houston Rockets,1,0.0,19.0,3,5,0.6,New York Knicks,0.25
58,59.0,2016-11-02,19:30:00,Home,New York Knicks,0,0.0,-19.0,1,4,0.25,Houston Rockets,0.6
59,60.0,2016-11-02,20:00:00,Home,Boston Celtics,1,0.0,7.0,3,4,0.75,Chicago Bulls,0.75
59,60.0,2016-11-02,20:00:00,Away,Chicago Bulls,0,0.0,-7.0,3,4,0.75,Boston Celtics,0.75
60,61.0,2016-11-02,20:00:00,Home,Memphis Grizzlies,1,1.0,6.0,3,5,0.6,New Orleans Pelicans,0.0
60,61.0,2016-11-02,20:00:00,Away,New Orleans Pelicans,0,1.0,-6.0,0,5,0.0,Memphis Grizzlies,0.6
61,62.0,2016-11-02,21:00:00,Home,Utah Jazz,1,0.0,16.0,3,5,0.6,Dallas Mavericks,0.0
61,62.0,2016-11-02,21:00:00,Away,Dallas Mavericks,0,0.0,-16.0,0,4,0.0,Utah Jazz,0.6
62,63.0,2016-11-02,22:00:00,Home,Phoenix Suns,1,1.0,3.0,1,5,0.2,Portland Trail Blazers,0.4
62,63.0,2016-11-02,22:00:00,Away,Portland Trail Blazers,0,1.0,-3.0,2,5,0.4,Phoenix Suns,0.2
63,64.0,2016-11-02,22:30:00,Away,Oklahoma City Thunder,1,0.0,2.0,4,4,1.0,Los Angeles Clippers,0.75
63,64.0,2016-11-02,22:30:00,Home,Los Angeles Clippers,0,0.0,-2.0,3,4,0.75,Oklahoma City Thunder,1.0
64,65.0,2016-11-03,19:00:00,Home,Orlando Magic,1,0.0,8.0,2,5,0.4,Sacramento Kings,0.333
64,65.0,2016-11-03,19:00:00,Away,Sacramento Kings,0,0.0,-8.0,2,6,0.333,Orlando Magic,0.4
65,66.0,2016-11-03,20:00:00,Home,Cleveland Cavaliers,1,0.0,6.0,5,5,1.0,Boston Celtics,0.6
65,66.0,2016-11-03,20:00:00,Away,Boston Celtics,0,0.0,-6.0,3,5,0.6,Cleveland Cavaliers,1.0
66,67.0,2016-11-03,20:00:00,Home,Milwaukee Bucks,1,0.0,18.0,3,5,0.6,Indiana Pacers,0.4
66,67.0,2016-11-03,20:00:00,Away,Indiana Pacers,0,0.0,-18.0,2,5,0.4,Milwaukee Bucks,0.6
67,68.0,2016-11-03,20:00:00,Away,Denver Nuggets,1,0.0,3.0,2,4,0.5,Minnesota Timberwolves,0.25
67,68.0,2016-11-03,20:00:00,Home,Minnesota Timberwolves,0,0.0,-3.0,1,4,0.25,Denver Nuggets,0.5
68,69.0,2016-11-03,22:30:00,Home,Golden State Warriors,1,0.0,26.0,4,5,0.8,Oklahoma City Thunder,0.8
68,69.0,2016-11-03,22:30:00,Away,Oklahoma City Thunder,0,0.0,-26.0,4,5,0.8,Golden State Warriors,0.8
69,70.0,2016-11-04,19:00:00,Home,Washington Wizards,1,0.0,3.0,1,4,0.25,Atlanta Hawks,0.6
69,70.0,2016-11-04,19:00:00,Away,Atlanta Hawks,0,0.0,-3.0,3,5,0.6,Washington Wizards,0.25
70,71.0,2016-11-04,19:30:00,Away,Charlotte Hornets,1,0.0,4.0,4,5,0.8,Brooklyn Nets,0.333
70,71.0,2016-11-04,19:30:00,Home,Brooklyn Nets,0,0.0,-4.0,2,6,0.333,Charlotte Hornets,0.8
71,72.0,2016-11-04,19:30:00,Home,Toronto Raptors,1,0.0,9.0,4,5,0.8,Miami Heat,0.4
71,72.0,2016-11-04,19:30:00,Away,Miami Heat,0,0.0,-9.0,2,5,0.4,Toronto Raptors,0.8
72,73.0,2016-11-04,20:00:00,Away,New York Knicks,1,0.0,13.0,2,5,0.4,Chicago Bulls,0.6
72,73.0,2016-11-04,20:00:00,Home,Chicago Bulls,0,0.0,-13.0,3,5,0.6,New York Knicks,0.4
73,74.0,2016-11-04,20:00:00,Away,Los Angeles Clippers,1,0.0,11.0,4,5,0.8,Memphis Grizzlies,0.5
73,74.0,2016-11-04,20:00:00,Home,Memphis Grizzlies,0,0.0,-11.0,3,6,0.5,Los Angeles Clippers,0.8
74,75.0,2016-11-04,20:00:00,Away,Phoenix Suns,1,1.0,1.0,2,6,0.333,New Orleans Pelicans,0.0
74,75.0,2016-11-04,20:00:00,Home,New Orleans Pelicans,0,1.0,-1.0,0,6,0.0,Phoenix Suns,0.333
75,76.0,2016-11-04,20:30:00,Away,Portland Trail Blazers,1,0.0,10.0,3,6,0.5,Dallas Mavericks,0.0
75,76.0,2016-11-04,20:30:00,Home,Dallas Mavericks,0,0.0,-10.0,0,5,0.0,Portland Trail Blazers,0.5
76,77.0,2016-11-04,21:00:00,Away,San Antonio Spurs,1,0.0,14.0,5,6,0.833,Utah Jazz,0.5
76,77.0,2016-11-04,21:00:00,Home,Utah Jazz,0,0.0,-14.0,3,6,0.5,San Antonio Spurs,0.833
77,78.0,2016-11-04,22:30:00,Home,Los Angeles Lakers,1,0.0,20.0,3,6,0.5,Golden State Warriors,0.667
77,78.0,2016-11-04,22:30:00,Away,Golden State Warriors,0,0.0,-20.0,4,6,0.667,Los Angeles Lakers,0.5
78,79.0,2016-11-05,18:00:00,Home,Oklahoma City Thunder,1,0.0,20.0,5,6,0.833,Minnesota Timberwolves,0.2
78,79.0,2016-11-05,18:00:00,Away,Minnesota Timberwolves,0,0.0,-20.0,1,5,0.2,Oklahoma City Thunder,0.833
79,80.0,2016-11-05,19:00:00,Home,Detroit Pistons,1,0.0,17.0,4,6,0.667,Denver Nuggets,0.4
79,80.0,2016-11-05,19:00:00,Away,Denver Nuggets,0,0.0,-17.0,2,5,0.4,Detroit Pistons,0.667
80,81.0,2016-11-05,19:00:00,Home,Indiana Pacers,1,0.0,17.0,3,6,0.5,Chicago Bulls,0.5
80,81.0,2016-11-05,19:00:00,Away,Chicago Bulls,0,0.0,-17.0,3,6,0.5,Indiana Pacers,0.5
81,82.0,2016-11-05,19:00:00,Home,Orlando Magic,1,0.0,2.0,3,6,0.5,Washington Wizards,0.2
81,82.0,2016-11-05,19:00:00,Away,Washington Wizards,0,0.0,-2.0,1,5,0.2,Orlando Magic,0.5
82,83.0,2016-11-05,19:00:00,Away,Cleveland Cavaliers,1,0.0,1.0,6,6,1.0,Philadelphia 76ers,0.0
82,83.0,2016-11-05,19:00:00,Home,Philadelphia 76ers,0,0.0,-1.0,0,5,0.0,Cleveland Cavaliers,1.0
83,84.0,2016-11-05,19:30:00,Home,Atlanta Hawks,1,0.0,15.0,4,6,0.667,Houston Rockets,0.5
83,84.0,2016-11-05,19:30:00,Away,Houston Rockets,0,0.0,-15.0,3,6,0.5,Atlanta Hawks,0.667
84,85.0,2016-11-05,20:00:00,Home,Milwaukee Bucks,1,0.0,26.0,4,6,0.667,Sacramento Kings,0.286
84,85.0,2016-11-05,20:00:00,Away,Sacramento Kings,0,0.0,-26.0,2,7,0.286,Milwaukee Bucks,0.667
85,86.0,2016-11-05,20:30:00,Away,Los Angeles Clippers,1,0.0,24.0,5,6,0.833,San Antonio Spurs,0.714
85,86.0,2016-11-05,20:30:00,Home,San Antonio Spurs,0,0.0,-24.0,5,7,0.714,Los Angeles Clippers,0.833
86,87.0,2016-11-06,12:00:00,Away,Utah Jazz,1,0.0,5.0,4,7,0.571,New York Knicks,0.333
86,87.0,2016-11-06,12:00:00,Home,New York Knicks,0,0.0,-5.0,2,6,0.333,Utah Jazz,0.571
87,88.0,2016-11-06,15:30:00,Away,Portland Trail Blazers,1,0.0,6.0,4,7,0.571,Memphis Grizzlies,0.429
87,88.0,2016-11-06,15:30:00,Home,Memphis Grizzlies,0,0.0,-6.0,3,7,0.429,Portland Trail Blazers,0.571
88,89.0,2016-11-06,18:00:00,Away,Sacramento Kings,1,0.0,5.0,3,8,0.375,Toronto Raptors,0.667
88,89.0,2016-11-06,18:00:00,Home,Toronto Raptors,0,0.0,-5.0,4,6,0.667,Sacramento Kings,0.375
89,90.0,2016-11-06,19:00:00,Home,Dallas Mavericks,1,1.0,11.0,1,6,0.167,Milwaukee Bucks,0.571
89,90.0,2016-11-06,19:00:00,Away,Milwaukee Bucks,0,1.0,-11.0,4,7,0.571,Dallas Mavericks,0.167
90,91.0,2016-11-06,19:30:00,Away,Denver Nuggets,1,0.0,16.0,3,6,0.5,Boston Celtics,0.5
90,91.0,2016-11-06,19:30:00,Home,Boston Celtics,0,0.0,-16.0,3,6,0.5,Denver Nuggets,0.5
91,92.0,2016-11-06,21:30:00,Home,Los Angeles Lakers,1,0.0,11.0,4,7,0.571,Phoenix Suns,0.286
91,92.0,2016-11-06,21:30:00,Away,Phoenix Suns,0,0.0,-11.0,2,7,0.286,Los Angeles Lakers,0.571
92,93.0,2016-11-07,19:00:00,Home,Charlotte Hornets,1,0.0,22.0,5,6,0.833,Indiana Pacers,0.429
92,93.0,2016-11-07,19:00:00,Away,Indiana Pacers,0,0.0,-22.0,3,7,0.429,Charlotte Hornets,0.833
93,94.0,2016-11-07,19:00:00,Away,Utah Jazz,1,0.0,25.0,5,8,0.625,Philadelphia 76ers,0.0
93,94.0,2016-11-07,19:00:00,Home,Philadelphia 76ers,0,0.0,-25.0,0,6,0.0,Utah Jazz,0.625
94,95.0,2016-11-07,19:00:00,Away,Houston Rockets,1,0.0,8.0,4,7,0.571,Washington Wizards,0.167
94,95.0,2016-11-07,19:00:00,Home,Washington Wizards,0,0.0,-8.0,1,6,0.167,Houston Rockets,0.571
95,96.0,2016-11-07,20:00:00,Home,Chicago Bulls,1,0.0,32.0,4,7,0.571,Orlando Magic,0.429
95,96.0,2016-11-07,20:00:00,Away,Orlando Magic,0,0.0,-32.0,3,7,0.429,Chicago Bulls,0.571
96,97.0,2016-11-07,20:00:00,Home,Oklahoma City Thunder,1,0.0,12.0,6,7,0.857,Miami Heat,0.333
96,97.0,2016-11-07,20:00:00,Away,Miami Heat,0,0.0,-12.0,2,6,0.333,Oklahoma City Thunder,0.857
97,98.0,2016-11-07,22:30:00,Home,Golden State Warriors,1,0.0,10.0,5,7,0.714,New Orleans Pelicans,0.0
97,98.0,2016-11-07,22:30:00,Away,New Orleans Pelicans,0,0.0,-10.0,0,7,0.0,Golden State Warriors,0.714
98,99.0,2016-11-07,22:30:00,Home,Los Angeles Clippers,1,0.0,32.0,6,7,0.857,Detroit Pistons,0.571
98,99.0,2016-11-07,22:30:00,Away,Detroit Pistons,0,0.0,-32.0,4,7,0.571,Los Angeles Clippers,0.857
99,100.0,2016-11-08,19:00:00,Away,Atlanta Hawks,1,0.0,4.0,5,7,0.714,Cleveland Cavaliers,0.857
99,100.0,2016-11-08,19:00:00,Home,Cleveland Cavaliers,0,0.0,-4.0,6,7,0.857,Atlanta Hawks,0.714
100,101.0,2016-11-08,19:30:00,Home,Brooklyn Nets,1,0.0,9.0,3,7,0.429,Minnesota Timberwolves,0.167
100,101.0,2016-11-08,19:30:00,Away,Minnesota Timberwolves,0,0.0,-9.0,1,6,0.167,Brooklyn Nets,0.429
101,102.0,2016-11-08,20:00:00,Home,Memphis Grizzlies,1,0.0,1.0,4,8,0.5,Denver Nuggets,0.429
101,102.0,2016-11-08,20:00:00,Away,Denver Nuggets,0,0.0,-1.0,3,7,0.429,Memphis Grizzlies,0.5
102,103.0,2016-11-08,22:00:00,Home,Portland Trail Blazers,1,0.0,3.0,5,8,0.625,Phoenix Suns,0.25
102,103.0,2016-11-08,22:00:00,Away,Phoenix Suns,0,0.0,-3.0,2,8,0.25,Portland Trail Blazers,0.625
103,104.0,2016-11-08,22:30:00,Away,Dallas Mavericks,1,0.0,12.0,2,7,0.286,Los Angeles Lakers,0.5
103,104.0,2016-11-08,22:30:00,Home,Los Angeles Lakers,0,0.0,-12.0,4,8,0.5,Dallas Mavericks,0.286
104,105.0,2016-11-08,22:30:00,Home,Sacramento Kings,1,0.0,8.0,4,9,0.444,New Orleans Pelicans,0.0
104,105.0,2016-11-08,22:30:00,Away,New Orleans Pelicans,0,0.0,-8.0,0,8,0.0,Sacramento Kings,0.444
105,106.0,2016-11-09,19:00:00,Home,Charlotte Hornets,1,0.0,6.0,6,7,0.857,Utah Jazz,0.556
105,106.0,2016-11-09,19:00:00,Away,Utah Jazz,0,0.0,-6.0,5,9,0.556,Charlotte Hornets,0.857
106,107.0,2016-11-09,19:00:00,Home,Indiana Pacers,1,1.0,7.0,4,8,0.5,Philadelphia 76ers,0.0
106,107.0,2016-11-09,19:00:00,Away,Philadelphia 76ers,0,1.0,-7.0,0,7,0.0,Indiana Pacers,0.5
107,108.0,2016-11-09,19:00:00,Home,New York Knicks,1,0.0,14.0,3,7,0.429,Brooklyn Nets,0.375
107,108.0,2016-11-09,19:00:00,Away,Brooklyn Nets,0,0.0,-14.0,3,8,0.375,New York Knicks,0.429
108,109.0,2016-11-09,19:00:00,Away,Minnesota Timberwolves,1,0.0,16.0,2,7,0.286,Orlando Magic,0.375
108,109.0,2016-11-09,19:00:00,Home,Orlando Magic,0,0.0,-16.0,3,8,0.375,Minnesota Timberwolves,0.286
